D06,Dublin 6,,,53.308800,-6.263100
P51,Mallow,,,52.133301,-8.633300
P56,Charleville,,,52.349998,-8.683300
R42,Birr,,,53.091400,-7.913300
A85,Dunshaughlin,,,53.512501,-6.540000
A94,Blackrock,,,53.301498,-6.177800
F42,Roscommon,,,53.633301,-8.183300
H62,Loughrea,,,53.196899,-8.566900
K36,Malahide,,,53.450802,-6.154400
N91,Mullingar,,,53.533298,-7.350000
D18,Dublin 18,,,53.246899,-6.177400
E25,Cashel,,,52.515800,-7.885600
D13,Dublin 13,,,53.394600,-6.149500
R32,Portlaoise,,,53.034401,-7.299800
F12,Knock,,,53.793900,-8.919600
H71,Clifden,,,53.489101,-10.019100
N37,Athlone,,,53.422798,-7.937200
V14,Shannon,,,52.703899,-8.864200
Y34,New Ross,,,52.396702,-6.936700
A96,Dun Laoghaire,,,53.293999,-6.135900
D10,Dublin 10,,,53.340900,-6.354500
H54,Tuam,,,53.516701,-8.850000
P14,Crookstown,,,53.015301,-6.810600
P17,Kinsale,,,51.707500,-8.530600
T45,Glanmire,,,51.915798,-8.399700
F23,Castlebar,,,53.849998,-9.300000
H14,Belturbet,,,54.099998,-7.450000
F31,Ballinrobe,,,53.633301,-9.233300
F52,Boyle,,,53.966702,-8.300000
F92,Letterkenny,,,54.950001,-7.733300
F93,Lifford,,,54.831902,-7.483600
P31,Ballincollig,,,51.883301,-8.583300
R45,Edenderry,,,53.345299,-7.049700
A83,Enfield,,,53.414200,-6.832300
E34,Tipperary,,,52.473301,-8.155800
K45,Lusk,,,53.527401,-6.164200
P43,Carrigaline,,,51.811699,-8.398600
P72,Bandon,,,51.746899,-8.742500
T23,Cork city northside,,,51.897202,-8.470200
A92,Drogheda,,,53.718899,-6.347800
F91,Sligo,,,54.269699,-8.469400
E53,Roscrea,,,52.951099,-7.801700
P32,Rylane,,,51.983299,-8.833300
A75,Castleblayney,,,54.116699,-6.733300
A84,Ashbourne,,,53.511600,-6.398200
D11,Dublin 11,,,53.389900,-6.293000
E41,Thurles,,,52.681900,-7.802200
F45,Castlerea,,,53.766701,-8.500000
K56,Rush,,,53.524200,-6.105000
Y25,Gorey,,,52.674702,-6.292500
