KKP,Kirkop,Kirkop,,35.844200,14.484200
MTP,MaltaPost,Il-Marsa,,35.876400,14.492200
RBT,Rabat,Ir-Rabat,,35.882599,14.397800
XWK,Xewkija,Ix-Xewkija,,36.033298,14.261100
MFN,Marsalforn,Iż-Żebbuġ,,36.066700,14.244400
ZBB,Żebbuġ,Iż-Żebbuġ,,36.066700,14.244400
GXQ,Għaxaq,Ħal Għaxaq,,35.845798,14.516700
MRS,Marsa,Il-Marsa,,35.876400,14.492200
SGW,Siġġiewi,Is-Siġġiewi,,35.848598,14.426400
XRA,Xagħra,Ix-Xagħra,,36.054199,14.266700
MXK,Marsaxlokk,Marsaxlokk,,35.841702,14.551400
QRD,Qrendi,Il-Qrendi,,35.831902,14.451400
SLM,Sliema,Tas-Sliema,,35.912498,14.502200
GSM,Għajnsielem,Għajnsielem,,36.026699,14.286100
MGR,Mġarr,L-Imġarr,,35.919399,14.363900
MQB,Mqabba,L-Imqabba,,35.845001,14.467500
STJ,Saint Julians,Saint Julian's,,35.917198,14.489400
ZRQ,Żurrieq,Iż-Żurrieq,,35.822201,14.483300
HMR,Ħamrun,Il-Ħamrun,,35.886902,14.488300
QLA,Qala,Il-Qala,,36.037498,14.316700
SFI,Safi,Safi,,35.834702,14.491700
BKR,Birkirkara,Birkirkara,,35.897202,14.465300
FNT,Fontana,Il-Fontana,,36.037498,14.236100
KKR,Kalkara,Il-Kalkara,,35.891102,14.532800
SGN,San Ġwann,Saint John,,35.908901,14.475000
VLT,Valletta,Il-Belt Valletta,,35.898300,14.512500
XJR,Xgħajra,Ix-Xgħajra,,35.884701,14.548600
ATD,Attard,Attard,,35.891701,14.431900
FGR,Fgura,Il-Fgura,,35.872799,14.520300
GRB,Għarb,L-Għarb,,36.068100,14.201400
XLN,Xlendi,Il-Munxar,,36.029202,14.225600
VCT,Victoria,Victoria,,36.045300,14.241700
BZN,Balzan,Balzan,,35.897202,14.452800
MTF,Mtarfa,L-Imtarfa,,35.890598,14.397200
LJA,Lija,Lija,,35.901402,14.442200
SNT,Sannat,Sannat,,36.023102,14.251400
ZBR,Żabbar,Ħaż-Żabbar,,35.875000,14.541700
QRM,Qormi,Qormi,,35.879200,14.466700
SWQ,Swieqi,Is-Swieqi,,35.921700,14.469400
BML,Bormla,Bormla,,35.880600,14.521700
DGL,Dingli,Dingli,,35.859699,14.383300
GDJ,Gudja,Il-Gudja,,35.851398,14.503300
IKL,Iklin,L-Iklin,,35.909698,14.455600
MST,Mosta,Il-Mosta,,35.912498,14.420800
SPB,Saint Paul's Bay,Saint Paul’s Bay,,35.937500,14.398600
MDN,Mdina,L-Imdina,,35.887199,14.405300
LQA,Luqa,Luqa,,35.859699,14.483300
MSK,Marsaskala,Marsaskala,,35.860600,14.559200
NXR,Naxxar,In-Naxxar,,35.933300,14.437500
XBX,Ta' Xbiex,Ta’ Xbiex,,35.899399,14.496100
KMN,Kemmuna,Għajnsielem,,36.026699,14.286100
MXR,Munxar,Il-Munxar,,36.029202,14.225600
PBK,Pembroke,Pembroke,,35.930599,14.476400
GSR,Għasri,L-Għasri,,36.065300,14.221700
SCM,Smart City,Il-Kalkara,,35.891102,14.532800
KCM,Kerċem,Ta’ Kerċem,,36.043900,14.216100
MLH,Mellieħa,Il-Mellieħa,,35.958302,14.351400
PTA,Pietà,Tal-Pietà,,35.892502,14.493900
TXN,Tarxien,Tarxien,,35.866699,14.513100
BRG,Birgu,Il-Birgu,,35.886101,14.524200
FRN,Floriana,Il-Furjana,,35.891701,14.504200
GZR,Gżira,Il-Gżira,,35.905602,14.492800
ISL,Isla,L-Isla,,35.887798,14.516900
PLA,Paola,Paola,,35.873600,14.506100
SLZ,San Lawrenz,Saint Lawrence,,36.048599,14.197800
SLC,Santa Luċija,Saint Lucia,,35.861698,14.506400
ZBG,Żebbuġ,Ħaż-Żebbuġ,,35.873600,14.436100
GHR,Għargħur,Ħal Għargħur,,35.923599,14.455000
MSD,Msida,L-Imsida,,35.898602,14.483900
NDR,Nadur,In-Nadur,,36.048599,14.294400
ZTN,Żejtun,Iż-Żejtun,,35.857800,14.533300
BBG,Birżebbuġa,Birżebbuġa,,35.822201,14.522800
SVR,Santa Venera,Saint Venera,,35.890301,14.477800
