4106,Culemborg,Provincie Gelderland,Gemeente Culemborg,51.955002,5.227800
6740,Lunteren,Provincie Gelderland,Gemeente Ede,52.084999,5.622200
6519,Nijmegen,Provincie Gelderland,Gemeente Nijmegen,51.842499,5.852800
5200,'s-Hertogenbosch,Provincie Noord-Brabant,Gemeente 's-Hertogenbosch,51.699200,5.304200
4900,Oosterhout,Provincie Noord-Brabant,Gemeente Oosterhout,51.645000,4.859700
1964,Heemskerk,Provincie Noord-Holland,Gemeente Heemskerk,52.516701,4.666700
2515,Stationsbuurt,Provincie Zeeland,Gemeente Reimerswaal,51.423302,4.159700
3112,Schiedam-Oost,Provincie Drenthe,,51.692902,4.386100
7329,Apeldoorn,Provincie Gelderland,Gemeente Apeldoorn,52.209999,5.969400
9773,Wetsinge,Provincie Groningen,Gemeente Winsum,53.304199,6.529200
5550,Valkenswaard,Provincie Noord-Brabant,Gemeente Valkenswaard,51.350800,5.459700
4433,Hoedekenskerke,Provincie Zeeland,Gemeente Borsele,51.424999,3.912500
7833,Nieuw-Amsterdam,Provincie Drenthe,Gemeente Emmen,52.711700,6.855600
3311,Dordrecht,Provincie Zuid-Holland,Gemeente Dordrecht,51.810001,4.673600
8244,Lelystad,Provincie Flevoland,Gemeente Lelystad,52.508301,5.475000
8632,Tirns,Provincie Friesland,Gemeente Wymbritseradiel,53.058300,5.626400
6732,Harskamp,Provincie Gelderland,Gemeente Ede,52.130001,5.752800
1843,Grootschermer,Provincie Noord-Holland,Gemeente Schermer,52.582500,4.850000
8884,Baaiduinen,Provincie Friesland,Gemeente Terschelling,53.377800,5.277000
8636,Britswert,Provincie Friesland,,53.059399,5.658100
1421,Uithoorn,Provincie Noord-Holland,Gemeente Uithoorn,52.237499,4.826400
3541,Hogeweide,Provincie Utrecht,,52.116699,5.066700
4520,Biervliet,Provincie Zeeland,Gemeente Terneuzen,51.328300,3.688900
2242,Wassenaar,Provincie Zuid-Holland,Gemeente Wassenaar,52.145802,4.402800
8536,Oosterzee,Provincie Friesland,Gemeente Lemsterland,52.873798,5.775700
4105,Culemborg,Provincie Gelderland,Gemeente Culemborg,51.955002,5.227800
2006,Haarlem,Provincie Noord-Holland,Gemeente Haarlem,52.380798,4.636800
4505,Zuidzande,Provincie Zeeland,Gemeente Sluis,51.340801,3.452800
2244,Wassenaar,Provincie Zuid-Holland,Gemeente Wassenaar,52.145802,4.402800
2521,Laakkwartier,Provincie Zuid-Holland,,52.067501,4.303500
1119,"Schiphol-Rijk, Schiphol-Zuidoost",Provincie Noord-Holland,,52.337898,4.958700
8888,(eiland Terschelling),Provincie Friesland,,53.372501,5.258900
5846,Ledeacker,Provincie Noord-Brabant,Gemeente Sint Anthonis,51.636700,5.870800
1022,Amsterdam Noord oost,Provincie Noord-Holland,,52.392200,4.977200
7336,Apeldoorn,Provincie Gelderland,Gemeente Apeldoorn,52.209999,5.969400
4625,Bergen op Zoom,Provincie Noord-Brabant,Gemeente Bergen op Zoom,51.494999,4.291700
8920,Leeuwarden,Provincie Friesland,Gemeente Leeuwarden,53.200001,5.783300
1934,Egmond aan den Hoef,Provincie Noord-Holland,Gemeente Bergen,52.623299,4.652800
5610,Eindhoven,Provincie Noord-Brabant,Gemeente Eindhoven,51.440800,5.477800
4722,Schijf,Provincie Noord-Brabant,Gemeente Rucphen,51.499199,4.561100
5085,Esbeek,Provincie Noord-Brabant,Gemeente Hilvarenbeek,51.461700,5.137500
3803,Amersfoort,Provincie Utrecht,Gemeente Amersfoort,52.154999,5.387500
7678,Geesteren,Provincie Overijssel,Gemeente Tubbergen,52.420799,6.736100
