97448 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97485 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97417,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97431,La Plaine-des-Palmistes,Réunion,Réunion,-21.116699,55.633301
97480,Saint-Joseph,Réunion,Réunion,-21.378401,55.619202
97488 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97853 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97493 CEDEX,Sainte-Clotilde,Reunion (general),,-20.891600,55.478699
97490,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97821 CEDEX,Le Port,Réunion,Réunion,-20.937300,55.291901
97839 CEDEX,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97403 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97426,Trois-Bassins,Réunion,Réunion,-21.100000,55.299999
97427,L'Étang-Salé,Réunion,Réunion,-21.250000,55.383301
97440,Saint-André,Réunion,Réunion,-20.963301,55.650299
97706 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97805 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97422,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97479 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97484 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97714 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97865 CEDEX,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97866 CEDEX,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97467 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97457 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97486 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97715 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97851 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97430,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97404 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97433,Salazie,Réunion,Réunion,-21.027300,55.539001
97466 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97470,Saint-Benoît,Réunion,Réunion,-21.038000,55.719398
97827 CEDEX,Le Port,Réunion,Réunion,-20.937300,55.291901
97835 CEDEX,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97862 CEDEX,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97400,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97445 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97453 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97489 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97833 CEDEX,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97836 CEDEX,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97434,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97418,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97705 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97824 CEDEX,Le Port,Réunion,Réunion,-20.937300,55.291901
97495 CEDEX,Sainte-Clotilde,Reunion (general),,-20.891600,55.478699
97452 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97709 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97718 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97829 CEDEX,Le Port,Réunion,Réunion,-20.937300,55.291901
97497 CEDEX,Sainte-Clotilde,Reunion (general),,-20.891600,55.478699
97401 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97442,Saint-Philippe,Réunion,Réunion,-21.358500,55.768002
97708 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97823 CEDEX,Le Port,Réunion,Réunion,-20.937300,55.291901
97496 CEDEX,Sainte-Clotilde,Reunion (general),,-20.891600,55.478699
97478 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97719 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97802 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97822 CEDEX,Le Port,Réunion,Réunion,-20.937300,55.291901
97837 CEDEX,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97419,La Possession,Réunion,Réunion,-20.928900,55.335098
97421,Saint-Louis,Réunion,Réunion,-21.285801,55.411201
97429,Petite-Île,Réunion,Réunion,-21.350000,55.566700
97872 CEDEX,Saint-Louis,Réunion,Réunion,-21.285801,55.411201
97423,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97472 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97477 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97801 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97462 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97751 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97803 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97899 CEDEX,Saint-Louis,Réunion,Réunion,-21.285801,55.411201
97458 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97446 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97701 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97713 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97828 CEDEX,Le Port,Réunion,Réunion,-20.937300,55.291901
97405 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97414,L'Entre-Deux,Réunion,Réunion,-21.233299,55.466702
97459 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97804 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97838 CEDEX,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97861 CEDEX,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97402 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97406 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97411,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97487 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97831 CEDEX,Le Tampon,Réunion,Réunion,-21.283100,55.518002
97852 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97492 CEDEX,Sainte-Clotilde,Reunion (general),,-20.891600,55.478699
97451 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97826 CEDEX,Le Port,Réunion,Réunion,-20.937300,55.291901
97868 CEDEX,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97711 CEDEX 9,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97436,Saint-Leu,Réunion,Réunion,-21.170601,55.288200
97439,Sainte-Rose,Réunion,Réunion,-21.129801,55.796299
97456 CEDEX,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97435,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97463 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97481 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
97460,Saint-Paul,Réunion,Réunion,-21.009600,55.270699
97432,Saint-Pierre,Réunion,Réunion,-21.339300,55.478100
97468 CEDEX,Saint-Denis,Réunion,Réunion,-20.882299,55.450401
